,ITEMID,COUNT
0,30013,2487526
1,30018,2338376
2,30131,369091
3,30140,357953
4,30045,343810
5,30118,336059
6,30025,286628
7,30026,258219
8,30124,218591
9,30187,215150
10,30128,212871
11,30021,205621
12,30032,202374
13,30015,192837
14,30208,191918
15,30056,184953
16,30120,184464
17,30166,163074
18,30221,146295
19,30073,143573
20,30144,137499
21,30196,125770
22,30112,107974
23,30077,91730
24,30095,90913
25,30121,89403
26,30123,85904
27,30090,77232
28,30141,71567
29,30020,68995
30,30260,68966
31,30043,65890
32,30051,61847
33,30066,57243
34,30354,56986
35,30303,54251
36,30125,53703
37,30088,51294
38,30096,49681
39,30089,47166
40,30078,45774
41,30302,44031
42,30001,43198
43,30050,41132
44,30126,38550
45,30227,35927
46,30023,35913
47,30059,32090
48,30119,32057
49,30060,31692
50,30197,29000
51,30058,27518
52,30114,26869
53,30199,26850
54,30115,26841
55,30296,26299
56,30042,26165
57,30122,25346
58,30304,25200
59,30164,24532
60,30225,24368
61,30072,23614
62,30403,22574
63,30172,22549
64,30297,21785
65,30065,20911
66,30321,20681
67,30030,20660
68,30198,20642
69,30200,20590
70,30404,20321
71,30133,19591
72,30029,18868
73,30360,17286
74,30005,17064
75,30308,17033
76,30163,16622
77,30266,16442
78,30270,16141
79,30325,15800
80,30149,14801
81,30150,14653
82,30071,14480
83,30142,13882
84,30307,13723
85,30358,13634
86,30178,13284
87,30086,13089
88,30194,12292
89,30313,12213
90,30173,11669
91,30301,11491
92,30165,11467
93,30075,11310
94,30167,11025
95,30117,10987
96,30028,10722
97,30366,10318
98,30016,10128
99,30191,9825
100,30317,9574
101,30101,8963
102,30264,8622
103,30048,8576
104,30272,8204
105,30371,7986
106,30100,7946
107,30193,7856
108,30047,7802
109,30383,7700
110,30054,7236
111,30368,6877
112,30061,6610
113,30006,6282
114,30031,6160
115,30068,6151
116,30335,6030
117,30009,5726
118,30049,5534
119,30033,5409
120,30190,5167
121,30402,5092
122,30099,5022
123,30143,4979
124,30127,4746
125,30369,4708
126,30318,4688
127,30192,4539
128,30323,4508
129,30160,4333
130,30278,4307
131,30179,3998
132,30314,3634
133,30177,3477
134,30364,3451
135,30186,3375
136,30337,3233
137,30168,3132
138,30008,3072
139,30276,3016
140,30130,2972
141,30298,2958
142,30384,2939
143,30203,2909
144,30102,2863
145,46284,2711
146,30324,2682
147,30052,2548
148,30357,2451
149,30347,2341
150,30069,2174
151,30231,2120
152,30211,2002
153,30138,2001
154,30350,1962
155,30226,1962
156,30353,1954
157,30201,1924
158,30336,1888
159,30110,1881
160,30104,1833
161,30326,1729
162,30159,1697
163,30055,1658
164,30299,1606
165,30170,1528
166,30087,1453
167,30151,1394
168,30012,1394
169,30233,1379
170,30401,1355
171,30135,1342
172,30355,1341
173,30116,1307
174,41101,1296
175,40549,1260
176,30189,1228
177,30185,1207
178,30359,1201
179,30063,1096
180,30365,1079
181,30375,1058
182,30348,1002
183,41193,962
184,30319,944
185,30014,943
186,30103,937
187,30202,923
188,30349,922
189,30385,894
190,30204,887
191,30094,883
192,30027,872
193,30282,849
194,30339,845
195,45661,837
196,30007,835
197,40552,828
198,30111,822
199,46417,815
200,30067,805
201,41583,771
202,30205,757
203,30352,756
204,30011,731
205,43677,723
206,43747,688
207,30098,687
208,30306,675
209,30105,669
210,30108,638
211,30340,632
212,30209,627
213,44306,620
214,30351,588
215,30334,581
216,30343,580
217,30057,560
218,30341,558
219,46019,556
220,30386,547
221,44008,531
222,30239,521
223,46493,516
224,46052,514
225,30022,510
226,30210,505
227,30017,480
228,45381,459
229,45681,448
230,30113,444
231,44107,442
232,46009,437
233,30405,428
234,30322,423
235,45399,412
236,45597,398
237,41848,396
238,45685,393
239,30134,392
240,42455,371
241,40700,369
242,43135,363
243,45984,361
244,42504,357
245,46006,350
246,30265,346
247,45987,346
248,46516,341
249,30374,340
250,30305,338
251,46293,330
252,45407,325
253,30174,316
254,44849,315
255,30148,308
256,40976,308
257,43683,304
258,30080,295
259,30176,295
260,42299,294
261,30129,289
262,41859,284
263,45370,282
264,41093,275
265,44218,274
266,45406,270
267,45302,269
268,30345,269
269,46160,266
270,45323,261
271,42166,259
272,30036,258
273,30399,254
274,30362,253
275,45755,251
276,30346,241
277,30237,241
278,30161,238
279,44675,237
280,30381,236
281,42204,236
282,30315,234
283,30342,232
284,30070,231
285,45725,231
286,30395,228
287,41410,223
288,41938,222
289,45473,221
290,41531,221
291,30093,220
292,46554,220
293,45721,219
294,30195,218
295,42782,218
296,44102,218
297,44609,216
298,45502,214
299,45449,214
300,45903,212
301,45606,211
302,46015,210
303,30175,209
304,30003,208
305,46101,207
306,45656,207
307,46693,206
308,42174,206
309,42693,205
310,45392,203
311,42462,202
312,43778,202
313,40850,202
314,30184,201
315,44050,197
316,41651,194
317,46292,194
318,46299,194
319,45683,193
320,41846,192
321,46549,191
322,45821,191
323,45913,191
324,45808,188
325,30085,188
326,41518,187
327,45902,186
328,46008,186
329,44737,183
330,40777,182
331,30344,179
332,30053,179
333,44202,177
334,46197,176
335,30320,176
336,45179,175
337,42742,174
338,45206,174
339,44547,173
340,46046,173
341,45391,170
342,41183,169
343,30082,169
344,44441,168
345,46281,167
346,40281,167
347,46730,167
348,30146,167
349,43126,166
350,45988,166
351,45964,165
352,45999,164
353,45475,164
354,45981,160
355,45671,160
356,30044,157
357,41430,157
358,45699,156
359,41646,155
360,45718,154
361,30243,153
362,40726,152
363,46057,152
364,45573,152
365,42372,151
366,43070,151
367,30310,150
368,30295,148
369,41028,147
370,46665,147
371,46280,146
372,45930,144
373,43063,144
374,42385,143
375,45986,141
376,30361,138
377,46087,138
378,46332,138
379,45954,137
380,45614,137
381,46496,137
382,46113,137
