,ITEMID,COUNT
0,225158,527855
1,220949,406345
2,225943,246312
3,222168,178819
4,226452,135438
5,223258,119668
6,225799,97629
7,221749,93571
8,221906,89697
9,221744,86340
10,225166,80724
11,225975,77518
12,221668,71674
13,226453,63417
14,225828,50013
15,221794,47444
16,225798,46352
17,225942,45866
18,225154,41064
19,227522,37967
20,225944,37553
21,226089,35567
22,225152,32468
23,221833,32461
24,223262,31680
25,222056,31528
26,225936,31309
27,225974,31160
28,225910,27516
29,225893,27069
30,227536,26606
31,222011,25897
32,225168,24836
33,221456,23922
34,225907,22316
35,225884,22222
36,221385,18731
37,227523,17883
38,225823,17661
39,227526,17650
40,227529,17205
41,225883,16892
42,225797,16735
43,227525,15636
44,225150,15303
45,225851,14856
46,222042,13611
47,225850,12751
48,221828,12459
49,225970,11740
50,221662,11389
51,225859,11261
52,226880,10628
53,227695,9853
54,220862,9851
55,221555,9334
56,225153,9206
57,223260,8906
58,221468,8765
59,220970,8428
60,221347,8367
61,225159,8106
62,227975,7626
63,220864,7466
64,226364,7052
65,225931,7049
66,226361,6786
67,220995,6670
68,228135,6581
69,221289,6413
70,221986,6249
71,225916,6009
72,227979,5669
73,222315,5648
74,225834,5618
75,225892,5520
76,221824,5389
77,227689,5233
78,225888,5048
79,221429,4888
80,225935,4811
81,225855,4749
82,228315,4523
83,222051,4462
84,225837,4258
85,225170,4160
86,225825,3844
87,225917,3843
88,220952,3832
89,225842,3791
90,221623,3780
91,225843,3572
92,223259,3504
93,225930,3491
94,221036,3291
95,225879,3279
96,225911,3134
97,225881,2998
98,225155,2929
99,225948,2618
100,225833,2602
101,228340,2392
102,225860,2376
103,225947,2289
104,221653,2233
105,225934,2082
106,225869,2079
107,227533,2037
108,226368,2002
109,228367,1991
110,225909,1975
111,226372,1895
112,225899,1873
113,225853,1872
114,228339,1751
115,225847,1733
116,225906,1720
117,225832,1686
118,225161,1681
119,225875,1642
120,225885,1625
121,225835,1594
122,220950,1576
123,228363,1568
124,227520,1482
125,225845,1475
126,225969,1412
127,225830,1393
128,228359,1387
129,227694,1383
130,228351,1271
131,225151,1264
132,227531,1138
133,227690,1083
134,221712,1079
135,225171,1073
136,225147,1065
137,225928,1059
138,228383,1013
139,226363,1003
140,225890,1002
141,226365,1002
142,226367,998
143,225913,997
144,225827,954
145,225863,930
146,225905,873
147,228316,867
148,225902,816
149,226369,781
150,225929,726
151,225912,692
152,222062,664
153,225973,596
154,225866,556
155,225941,541
156,227530,532
157,225945,512
158,225937,481
159,225156,455
160,223257,452
161,226375,441
162,225865,434
163,225848,359
164,225838,357
165,221207,354
166,225920,349
167,226051,337
168,227535,325
169,227528,316
170,222021,306
171,226050,300
172,225862,268
173,225898,259
174,226046,252
175,225873,241
176,221393,238
177,226047,214
178,225840,209
179,225148,205
180,226031,200
181,221689,197
182,226371,196
183,227973,186
184,221282,179
185,223261,167
186,225908,154
187,227518,151
188,225801,135
189,226030,135
190,225876,133
191,226038,118
192,226048,114
193,225914,109
194,228131,106
195,227696,96
196,227691,94
197,227974,93
198,222190,92
199,227532,87
200,226882,82
201,228140,82
202,225174,82
203,226370,82
204,227692,81
205,221319,80
206,226877,80
207,226022,78
208,227070,75
209,226019,74
210,226376,74
211,228003,73
212,226039,61
213,226026,59
214,226023,58
215,226045,58
216,226016,57
217,227699,56
218,222318,56
219,225871,54
220,228142,52
221,222151,51
222,225844,48
223,227534,47
224,226049,43
225,226059,42
226,225903,39
227,225795,38
228,226017,38
229,225167,37
230,222037,35
231,226036,34
232,227698,33
233,228134,30
234,226044,28
235,227977,28
236,226881,26
237,227524,26
238,227978,19
239,221892,19
240,225173,19
241,226377,16
242,226020,15
243,221342,15
244,226028,15
245,228341,14
246,228364,14
247,221733,14
248,227072,14
249,228132,13
250,226058,12
251,225157,11
252,227091,10
253,225886,9
254,226027,9
255,225895,8
256,227071,8
257,221261,7
258,225868,7
259,225877,6
260,225915,5
261,225995,5
262,225994,4
263,228141,4
264,228348,3
265,225996,3
266,226024,2
267,228133,2
268,225889,2
269,225991,2
270,228356,1
271,225993,1
272,226021,1
273,227976,1
274,225896,1
275,227370,1
276,226875,1
277,228361,1
