,ITEMID,COUNT
0,51221,881740
1,50971,845713
2,50983,808379
3,50912,797369
4,50902,795459
5,51006,791818
6,50882,780624
7,51265,778346
8,50868,769783
9,51301,753202
10,51222,752426
11,50931,748876
12,51249,748129
13,51279,747981
14,51248,747976
15,51250,747959
16,51277,746799
17,50960,664108
18,50893,591925
19,50970,590486
20,50820,530727
21,50821,490604
22,50802,490597
23,50804,490592
24,50818,490572
25,51275,474909
26,51274,469064
27,50808,249092
28,50885,238261
29,50861,219461
30,50878,219451
31,50863,207846
32,50809,196722
33,50822,192932
34,50813,187085
35,51256,172123
36,51244,172123
37,51254,172122
38,51200,172118
39,51146,172117
40,50862,146691
41,50817,139390
42,50910,132396
43,51491,116077
44,51498,115852
45,50911,115091
46,50954,107120
47,51492,106408
48,51514,101813
49,51484,101620
50,51478,101276
51,51464,99676
52,50810,89713
53,50811,89711
54,51003,87236
55,51516,84678
56,51493,84274
57,51476,83196
58,51144,75584
59,50816,71659
60,50824,71503
61,50956,65373
62,50867,63664
63,51143,59332
64,51251,59204
65,51255,59156
66,51009,54718
67,50806,48187
68,51214,45934
69,50883,45203
70,50884,44384
71,51082,33061
72,50993,28218
73,51100,25989
74,51000,24985
75,51218,24375
76,50908,22910
77,50967,22453
78,50986,21630
79,50907,19442
80,51093,18837
81,50964,18816
82,51007,18354
83,50904,18258
84,50952,18205
85,50903,18126
86,50924,17946
87,50998,17283
88,50953,17229
89,51466,17088
90,50852,16618
91,51257,16568
92,50905,16484
93,50801,16073
94,51482,15118
95,50909,13537
96,51104,13294
97,50815,12307
98,50935,11970
99,50976,11935
100,51010,11868
101,51002,11464
102,51097,10930
103,51283,10073
104,50922,9864
105,51078,9599
106,50856,9560
107,50803,9246
108,50981,9087
109,51102,9080
110,50914,8777
111,50925,8752
112,51288,8377
113,50917,8358
114,50995,8102
115,50930,7920
116,51099,7709
117,50963,6920
118,50889,6600
119,51479,6545
120,50929,6511
121,51501,5284
122,51213,5117
123,51351,4732
124,51363,4718
125,51355,4701
126,51362,4700
127,51360,4689
128,50965,4355
129,51196,4193
130,51018,4181
131,51014,4077
132,50866,3908
133,50974,3635
134,51148,3456
135,50978,3360
136,51128,3347
137,51116,3346
138,51120,3345
139,51125,3344
140,50950,3320
141,51127,3280
142,50994,3201
143,50900,3031
144,50864,2779
145,50949,2744
146,51008,2689
147,51458,2614
148,51450,2613
149,51446,2613
150,51455,2612
151,50951,2608
152,50927,2529
153,51059,2525
154,51054,2502
155,51269,2489
156,51180,2463
157,51457,2446
158,51069,2381
159,51245,2378
160,51133,2377
161,51300,2371
162,51131,2335
163,51176,2333
164,51117,2280
165,51001,2270
166,51053,2221
167,51194,2188
168,51284,2173
169,51070,2163
170,51130,2081
171,51181,2062
172,51132,2061
173,51118,2061
174,51497,2058
175,50805,2056
176,50814,2047
177,50906,2001
178,51427,1969
179,51436,1969
180,51431,1966
181,50966,1871
182,50849,1805
183,51259,1762
184,50835,1592
185,51447,1528
186,51439,1519
187,51448,1511
188,51438,1368
189,50891,1352
190,50890,1290
191,50997,1282
192,50843,1243
193,51098,1212
194,50915,1192
195,50842,1186
196,51046,1175
197,50831,1175
198,51108,1174
199,51352,1138
200,51428,1078
201,50836,1059
202,51095,1019
203,50968,958
204,50969,893
205,50957,890
206,50892,889
207,51077,887
208,50899,882
209,50946,871
210,50980,834
211,50937,833
212,50945,812
213,50838,784
214,51444,778
215,51026,757
216,51076,729
217,51047,726
218,51384,683
219,51382,683
220,51379,683
221,51375,683
222,51085,659
223,51347,655
224,51067,653
225,51229,643
226,51015,642
227,51453,633
228,51383,611
229,51419,601
230,50895,592
231,51005,592
232,50896,584
233,51297,580
234,51114,566
235,50898,551
236,51434,546
237,50988,539
238,50841,520
239,51138,513
240,51139,513
241,51105,494
242,51043,488
243,51206,482
244,51429,479
245,51034,468
246,51123,461
247,50996,443
248,51088,431
249,51035,424
250,51025,422
251,50989,421
252,50973,406
253,50961,406
254,51263,387
255,51028,355
256,50881,350
257,51271,334
258,51358,332
259,51051,330
260,51140,326
261,51529,320
262,51032,320
263,51343,310
264,50926,306
265,50918,301
266,51052,293
267,51422,288
268,51227,285
269,51226,285
270,51224,285
271,51445,285
272,51276,277
273,51517,270
274,51232,268
275,51489,263
276,51344,260
277,50990,253
278,51060,251
279,51376,236
280,50877,235
281,50958,229
282,51068,225
283,51199,217
284,51507,198
285,50962,195
286,50972,195
287,51228,191
288,51273,181
289,51406,167
290,51115,161
291,51110,160
292,50992,159
293,51440,159
294,50991,158
295,51109,151
296,51106,151
297,51080,150
298,51081,150
299,51101,150
300,51302,149
301,51471,144
302,51357,138
303,50865,137
304,51442,137
305,51298,135
306,51299,127
307,51441,121
308,51111,120
309,51345,119
310,51386,111
311,51065,110
312,51064,110
313,51515,106
314,50850,106
315,50928,99
316,51289,98
317,51225,96
318,51066,91
319,51369,87
320,51049,84
321,51368,83
322,51454,83
323,51112,82
324,51042,82
325,51063,80
326,51223,80
327,51178,78
328,51041,76
329,50921,76
330,51387,75
331,50853,74
332,51124,73
333,51272,72
334,51045,71
335,51452,70
336,51385,68
337,51030,65
338,51205,64
339,51044,63
340,51084,62
341,51241,61
342,51062,61
343,51348,59
344,50916,58
345,50848,58
346,51072,55
347,51204,55
348,51027,55
349,51073,55
350,51208,54
351,51149,53
352,51022,53
353,51203,52
354,51270,50
355,51494,50
356,51122,48
357,51381,48
358,50847,48
359,51433,46
360,50839,45
361,51061,45
362,50837,43
363,51366,43
364,51353,41
365,50830,38
366,51011,37
367,51096,34
368,51209,32
369,51202,30
370,51354,28
371,51024,28
372,51496,26
373,51467,25
374,51359,25
375,51377,25
376,51281,22
377,51280,22
378,51175,17
379,51174,17
380,51365,17
381,51020,16
382,51346,16
383,50851,16
384,51058,15
385,50870,15
386,50844,14
387,51210,14
388,51057,13
389,51380,13
390,51488,13
391,51430,13
392,50982,12
393,50859,12
394,51040,12
395,50858,12
396,51021,12
397,51036,12
398,51037,12
399,50869,11
400,51526,11
401,51356,11
402,51212,11
403,51039,11
404,51435,11
405,51211,11
406,51050,11
407,51023,10
408,50977,10
409,51449,10
410,51364,10
411,51367,10
412,51163,9
413,51029,9
414,51162,9
415,51451,9
416,50832,9
417,51031,9
418,51185,8
419,51186,8
420,50860,8
421,50947,7
422,51521,7
423,50840,7
424,51004,6
425,51285,6
426,51048,6
427,51533,6
428,50934,6
429,51253,6
430,51432,6
431,50936,6
432,51119,6
433,50894,5
434,51456,5
435,51480,5
436,51443,5
437,51361,5
438,51136,4
439,51165,4
440,51475,4
441,51166,4
442,51169,4
443,51170,4
444,51282,4
445,51242,4
446,51121,3
447,51437,3
448,51012,3
449,51534,2
450,51113,2
451,51129,2
452,51532,2
453,50846,2
454,51530,2
455,50833,1
456,50834,1
457,51349,1
458,51055,1
459,51555,1
460,51459,1
461,51019,1
462,51126,1
463,51378,1
