,ITEMID,COUNT
0,40055,1908656
1,226559,1186717
2,40076,149517
3,43175,104439
4,226588,81128
5,40069,63281
6,226560,63020
7,40286,61698
8,40071,27822
9,226606,26915
10,227510,25849
11,40049,24770
12,40048,23484
13,40052,22175
14,226599,21665
15,40054,21529
16,40059,17860
17,40058,17377
18,226589,12840
19,226575,10986
20,41707,10971
21,43176,10879
22,40072,10878
23,226576,9344
24,40094,9036
25,40926,8288
26,40091,8045
27,40097,7622
28,226579,7383
29,226600,7273
30,40294,7145
31,40051,7116
32,40715,6887
33,40063,6762
34,226597,6364
35,226582,6066
36,226633,5980
37,41683,5936
38,226627,5928
39,226561,5757
40,226598,5406
41,226592,5267
42,40050,5196
43,40060,4786
44,40473,4779
45,227701,4628
46,40088,4421
47,40087,4282
48,40090,4280
49,40065,4199
50,40061,4080
51,226590,3938
52,226593,3882
53,40053,3752
54,226580,3700
55,41867,3687
56,40064,3663
57,40067,3624
58,40367,3611
59,226626,3541
60,226573,3476
61,40703,3233
62,227489,3175
63,226571,3158
64,227488,3157
65,226613,3126
66,227511,3049
67,226610,2890
68,226601,2798
69,40057,2778
70,226619,2727
71,40056,2705
72,226584,2668
73,40075,2643
74,226563,2499
75,43246,2168
76,40084,2111
77,41898,2062
78,40092,1985
79,40089,1956
80,40080,1893
81,40070,1854
82,40405,1774
83,226607,1729
84,40077,1675
85,226583,1660
86,40093,1562
87,226604,1490
88,42871,1463
89,226564,1455
90,226603,1439
91,40331,1364
92,40086,1327
93,226565,1179
94,226602,1059
95,40648,995
96,43174,935
97,43433,893
98,226612,869
99,40289,829
100,40537,789
101,41866,773
102,226620,750
103,40292,652
104,40288,629
105,40428,617
106,40388,587
107,44201,569
108,42278,557
109,226632,536
110,40095,494
111,226625,491
112,226631,488
113,43178,485
114,40287,485
115,226567,463
116,226591,460
117,226608,446
118,226617,440
119,226574,432
120,40554,429
121,41184,427
122,42405,405
123,40096,405
124,226595,393
125,40406,387
126,40085,368
127,40066,353
128,41698,342
129,226614,327
130,40068,325
131,40290,323
132,42945,308
133,43177,307
134,43171,270
135,42582,237
136,42367,234
137,41868,224
138,226605,215
139,41213,213
140,40614,212
141,40729,212
142,42287,194
143,226628,189
144,43409,186
145,40073,184
146,40083,182
147,40470,176
148,44719,176
149,42279,168
150,226623,162
151,42738,154
152,46637,148
153,226557,147
154,42780,137
155,40580,134
156,40074,132
157,40909,132
158,42788,115
159,44002,114
160,42983,102
161,40538,99
162,43373,97
163,40652,95
164,45417,94
165,40651,87
166,42523,86
167,44676,80
168,44198,80
169,40624,79
170,40403,79
171,42330,78
172,42823,76
173,40078,76
174,45899,75
175,44133,74
176,226630,73
177,45858,72
178,226618,72
179,42824,71
180,40386,71
181,226622,71
182,41989,70
183,226609,70
184,44405,67
185,44029,64
186,42536,64
187,46506,63
188,40100,63
189,45590,63
190,42509,62
191,44349,62
192,45898,61
193,45484,61
194,45911,61
195,42465,61
196,41623,61
197,40881,59
198,40491,59
199,40490,58
200,42466,58
201,46454,58
202,44970,58
203,43336,55
204,40098,55
205,42508,54
206,44623,54
207,42834,54
208,40689,54
209,43840,52
210,44890,51
211,42819,50
212,44241,50
213,226629,49
214,226558,49
215,40789,48
216,40975,48
217,46282,48
218,45227,48
219,43172,48
220,42591,47
221,45194,46
222,43034,45
223,46715,45
224,43559,43
225,42270,43
226,46230,43
227,46071,43
228,45655,43
229,46766,43
230,42619,43
231,43853,42
232,43558,42
233,41113,42
234,40956,42
235,40099,41
236,44174,41
237,40451,41
238,40079,40
239,44522,40
240,40653,40
241,41562,40
242,46072,39
243,226570,39
244,46415,39
245,45927,39
246,46544,38
247,40779,37
248,42338,37
249,45327,37
250,41374,36
251,41584,36
252,43706,36
253,46469,36
254,45405,36
255,42498,35
256,46478,35
257,43431,35
258,46479,35
259,42467,35
260,42315,34
261,41494,34
262,40536,33
263,42300,33
264,42516,33
265,40893,33
266,44750,32
267,43127,32
268,40745,32
269,46242,32
270,40426,31
271,44959,31
272,43323,31
273,46489,31
274,42982,31
275,42432,31
276,43694,31
277,41426,30
278,40469,30
279,42314,30
280,41214,30
281,43666,30
282,40553,30
283,44637,30
284,45121,30
285,42652,30
286,44562,29
287,43859,29
288,44596,29
289,44595,28
290,44598,28
291,46290,28
292,45864,28
293,40649,28
294,45357,28
295,46666,28
296,40650,28
297,43984,28
298,44597,27
299,44846,27
300,42331,27
301,42101,27
302,42280,27
303,44211,26
304,44840,26
305,42507,26
306,42254,25
307,45118,25
308,43445,25
309,40507,25
310,46132,25
311,46178,25
312,44532,25
313,45792,24
314,46672,24
315,43522,24
316,40690,24
317,45192,24
318,43753,23
319,43015,23
320,226621,23
321,46373,23
322,45461,23
323,46504,23
324,40330,22
325,45460,22
326,44636,22
327,40425,22
328,44767,22
329,42540,22
330,42256,22
331,42258,21
332,46082,21
333,44304,21
334,42255,21
335,44992,21
336,46268,21
337,41527,21
338,42257,21
339,46761,21
340,44898,21
341,43441,21
342,46716,21
343,42293,21
344,46622,21
345,43042,20
346,45340,20
347,41250,20
348,41016,20
349,46510,20
350,44996,20
351,46372,20
352,45666,20
353,46401,20
354,42903,20
355,44216,19
356,46416,19
357,43960,19
358,46655,19
359,42212,19
360,46269,19
361,44650,19
362,45056,19
363,45117,19
364,45832,19
365,44768,19
366,43722,18
367,44531,18
368,41015,18
369,42539,18
370,46620,18
371,45857,18
372,46520,18
373,41539,18
374,42067,18
375,40584,18
376,43905,18
377,44841,18
378,44142,18
379,44720,18
380,45918,17
381,43606,17
382,43443,17
383,46718,17
384,40291,17
385,46285,17
386,41034,17
387,42431,17
388,44754,17
389,42346,17
390,42651,16
391,43846,16
392,44843,16
393,43244,16
394,41417,16
395,46183,16
396,44589,16
397,44612,16
398,43567,16
399,40472,15
400,44074,15
401,42479,15
402,44337,15
403,42460,15
404,45971,15
405,41440,15
406,46335,15
407,44973,15
408,44336,15
409,42165,15
410,46091,15
411,46414,15
412,42328,15
413,42348,14
414,45763,14
415,46403,14
416,41178,14
417,44134,14
418,43416,14
419,44622,14
420,42327,14
421,46580,14
422,44530,14
423,42461,14
424,42189,14
425,44286,14
426,44232,14
427,42809,14
428,40973,13
429,41818,13
430,42816,13
431,41849,13
432,46184,13
433,42881,13
434,41816,13
435,43245,13
436,40751,13
437,40764,13
438,42001,13
439,45412,12
440,44847,12
441,46568,12
442,43442,12
443,46656,12
444,46044,12
445,41815,12
446,42569,12
447,43161,12
448,44724,12
449,45824,12
450,41212,12
451,46712,12
452,46619,12
453,44920,11
454,42951,11
455,41793,11
456,44545,11
457,45869,11
458,43427,11
459,44715,11
460,41705,11
461,42874,11
462,46092,11
463,43668,11
464,41678,11
465,42950,11
466,43754,11
467,46371,11
468,46370,11
469,44806,11
470,46713,11
471,41735,10
472,45356,10
473,45653,10
474,43243,10
475,45533,10
476,41511,10
477,43605,10
478,43896,10
479,42066,10
480,44731,10
481,44730,10
482,45007,10
483,44209,10
484,40613,10
485,42869,10
486,42486,10
487,42347,10
488,41003,9
489,44705,9
490,40366,9
491,42210,9
492,46701,9
493,41800,9
494,45910,9
495,43932,9
496,44291,9
497,44729,9
498,43862,9
499,46466,9
500,42167,9
501,43820,9
502,41801,9
503,44879,8
504,44566,8
505,44548,8
506,44567,8
507,45742,8
508,44268,8
509,43058,8
510,41860,8
511,46020,8
512,43529,8
513,44895,8
514,41725,8
515,45260,8
516,46711,8
517,43477,8
518,44455,8
519,45654,8
520,43589,8
521,45914,7
522,41667,7
523,41836,7
