ITEMID,COUNT,USE,VARIABLE
220051,,1,ArterialBloodPressurediastolic
220052,,1,ArterialBloodPressuremean
618,,1,RespiratoryRate
220210,,1,RespiratoryRate
224641,,1,AlarmsOn
220292,,1,MinuteVolumeAlarm-Low
220339,,1,PEEPset
506,,1,PEEPset
224687,,1,MinuteVolume
224685,,1,TidalVolume(observed)
220293,,1,MinuteVolumeAlarm-High
224697,,1,MeanAirwayPressure
444,,1,MeanAirwayPressure
220074,,1,CentralVenousPressure
224688,,1,RespiratoryRate(Set)
220061,,1,PulmonaryArteryPressuremean
223834,,1,O2Flow
225664,,1,Glucosefifingerstick
220047,,1,HeartRateAlarm-Low
220059,,1,PulmonaryArteryPressuresystolic
224684,,1,TidalVolume(set)
683,,1,TidalVolume(set)
220060,,1,PulmonaryArteryPressurediastolic
226253,,1,SpO2DesatLimit
224161,,1,RespAlarm-High
723,,1,gcsverbal
454,,1,gcsmotor
184,,1,gcseyes
211,,1,heart rate
220045,,1,heart rate
223762,,1,body temperature
223761,,1,body temperature
678,,1,body temperature
676,,1,body temperature
3420,,1,fifio2
53,,1,arterial pressure mean
646,,1,spo2 peripheral
1529,,1,glucose
224639,,1,weight
763,,1,weight
3580,,1,weight
3581,,1,weight
3582,,1,weight
3583,,1,weight
226707,,1,height
535,,1,Peak Insp. Pressure
224695,,1,Peak Insp. Pressure
4571,,1,SkinCare
51,,1,systolic blood pressure abp mean
442,,1,systolic blood pressure abp mean
455,,1,systolic blood pressure abp mean
6701,,1,systolic blood pressure abp mean
220179,,1,systolic blood pressure abp mean
220050,,1,systolic blood pressure abp mean
