ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT,USE,VARIABLE
30,Salmonella enteritis,Salmonella gastroenteritis,1,1,1
31,Salmonella septicemia,Salmonella septicemia,1,1,1
35,Erysipelas,Erysipelas,2,1,1
38,Salmonella infection NEC,Other specified salmonella infections,2,1,1
39,Salmonella infection NOS,"Salmonella infection, unspecified",1,1,1
41,Shigella flexneri,Shigella flexneri,3,1,1
42,Human immuno virus dis,Human immunodeficiency virus [HIV] disease,354,1,1
48,Oth enteroviral cns dis,Other enterovirus diseases of central nervous system,5,1,1
48,Shigella infection NEC,Other specified shigella infections,1,1,1
51,Botulism food poisoning,Botulism food poisoning,1,1,1
59,Food poisoning NOS,"Food poisoning, unspecified",1,1,1
71,Giardiasis,Giardiasis,1,1,1
74,Cryptosporidiosis,Cryptosporidiosis,2,1,1
75,Infectious mononucleosis,Infectious mononucleosis,7,1,1
85,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",2,1,1
88,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",84,1,1
90,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",22,1,1
91,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",15,1,1
92,Infectious diarrhea NOS,Infectious diarrhea,4,1,1
93,Diarrhea of infect orig,Diarrhea of presumed infectious origin,4,1,1
96,Late syphilis latent,"Late syphilis, latent",2,1,1
118,Opportunistic mycoses,Opportunistic mycoses,1,1,1
135,Sarcoidosis,Sarcoidosis,147,1,1
138,Late effect acute polio,Late effects of acute poliomyelitis,60,1,1
179,Malig neopl uterus NOS,"Malignant neoplasm of uterus, part unspecified",2,1,2
185,Malign neopl prostate,Malignant neoplasm of prostate,247,1,2
193,Malign neopl thyroid,Malignant neoplasm of thyroid gland,26,1,2
217,Benign neoplasm breast,Benign neoplasm of breast,1,1,2
218,Tularemia NEC,Other specified tularemia,1,1,2
220,Benign neoplasm ovary,Benign neoplasm of ovary,19,1,2
226,Benign neoplasm thyroid,Benign neoplasm of thyroid glands,6,1,2
239,Brucellosis NOS,"Brucellosis, unspecified",1,1,2
260,Kwashiorkor,Kwashiorkor,5,1,3
261,Nutritional marasmus,Nutritional marasmus,141,1,3
262,Oth severe malnutrition,Other severe protein-calorie malnutrition,46,1,3
267,Ascorbic acid deficiency,Ascorbic acid deficiency,2,1,3
270,Listeriosis,Listeriosis,7,1,3
272,Pasteurellosis,Pasteurellosis,2,1,3
279,Zoonotic bact dis NOS,Unspecified zoonotic bacterial disease,1,1,3
309,Leprosy NOS,"Leprosy, unspecified",1,1,5
310,Pulmonary mycobacteria,Pulmonary diseases due to other mycobacteria,12,1,5
311,Depressive disorder NEC,"Depressive disorder, not elsewhere classified",2419,1,5
311,Cutaneous mycobacteria,Cutaneous diseases due to other mycobacteria,2,1,5
312,DMAC bacteremia,Disseminated due to other mycobacteria,12,1,5
316,Psychic factor w oth dis,Psychic factors associated with diseases classified elsewhere,1,1,5
317,Mild intellect disabilty,Mild intellectual disabilities,57,1,5
318,Mycobacterial dis NEC,Other specified mycobacterial diseases,2,1,5
319,Intellect disability NOS,Unspecified intellectual disabilities,116,1,5
319,Mycobacterial dis NOS,Unspecified diseases due to mycobacteria,1,1,5
325,Phlebitis intrcran sinus,Phlebitis and thrombophlebitis of intracranial venous sinuses,20,1,6
326,Late eff cns abscess,Late effects of intracranial abscess or pyogenic infection,4,1,6
329,Diphtheria NOS,"Diphtheria, unspecified",2,1,6
340,Multiple sclerosis,Multiple sclerosis,214,1,6
340,Strep sore throat,Streptococcal sore throat,13,1,6
360,Meningococcal meningitis,Meningococcal meningitis,5,1,6
362,Meningococcemia,Meningococcemia,5,1,6
380,Streptococcal septicemia,Streptococcal septicemia,255,1,6
382,Pneumococcal septicemia,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],68,1,6
383,Anaerobic septicemia,Septicemia due to anaerobes,76,1,6
388,Septicemia NEC,Other specified septicemias,148,1,6
389,Septicemia NOS,Unspecified septicemia,2686,1,6
390,Rheum fev w/o hrt involv,Rheumatic fever without mention of heart involvement,1,1,7
391,Pulmonary actinomycosis,Pulmonary actinomycotic infection,4,1,7
392,Abdominal actinomycosis,Abdominal actinomycotic infection,1,1,7
393,Chr rheumatic pericard,Chronic rheumatic pericarditis,2,1,7
398,Actinomycosis NEC,Actinomycotic infection of other specified sites,1,1,7
400,Gas gangrene,Gas gangrene,4,1,7
412,Old myocardial infarct,Old myocardial infarction,2285,1,7
412,Pneumococcus infect NOS,Pneumococcus infection in conditions classified elsewhere and of unspecified site,11,1,7
413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site,291,1,7
415,H. influenzae infect NOS,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,29,1,7
416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,137,1,7
