ITEMID,COUNT,USE,VARIABLE
51221,,1,HEMATOCRIT
51265,,1,PLATELET COUNT
50811,,1,HEMOGLOBIN
51222,,1,HEMOGLOBIN
51249,,1,MCHC
51248,,1,MCH
51250,,1,MCV
51279,,1,RED BLOOD CELLS
51277,,1,RDW
50902,,1,CHLORIDE
50868,,1,ANION GAP
50912,,1,CREATININE
50809,,1,GLUCOSE
50931,,1,GLUCOSE
51478,,1,GLUCOSE
50960,,1,"MAGNESIUM, TOTAL"
50893,,1,CALCIUM
50970,,1,PHOSPHATE
51237,,1,INR(PT)
51274,,1,PT
51275,,1,PTT
51244,,1,LYMPHOCYTES
51254,,1,MONOCYTES
51256,,1,NEUTROPHILS
51146,,1,BASOPHILS
51200,,1,EOSINOPHILS
50820,,1,PH
51491,,1,PH
50802,,1,BASE EXCESS
50804,,1,CALCULATED TOTAL CO2
50818,,1,PCO2
51498,,1,SPECIFIC GRAVITY
50813,,1,LACTATE
50861,,1,ALANINE AMINOTRANSFERASE (ALT)
50878,,1,ASPARATE AMINOTRANSFERASE (AST)
50863,,1,ALKALINE PHOSPHATASE
50862,,1,ALBUMIN
51301,,1,white blood cells count mean
51300,,1,white blood cells count mean
50983,,1,sodium level mean
50971,,1,potassium level mean
50822,,1,potassium level mean
50885,,1,bilirubin level
50902,,1,chloride
50819,,1,peep
51006,,1,serum urea nitrogen level
50821,,1,pao2
50882,,1,serum bicarbonate level mean
