ICD9_CODE,SHORT_TITLE,LONG_TITLE,COUNT,USE,VARIABLE
3893,Venous cath NEC,"Venous catheterization, not elsewhere classified",10204,1,3893
9604,Insert endotracheal tube,Insertion of endotracheal tube,6992,1,9604
9671,Cont inv mec ven <96 hrs,Continuous invasive mechanical ventilation for less than 96 consecutive hours,6497,1,9671
3961,Extracorporeal circulat,Extracorporeal circulation auxiliary to open heart surgery,6092,1,3961
966,Entral infus nutrit sub,Enteral infusion of concentrated nutritional substances,5612,1,966
9904,Packed cell transfusion,Transfusion of packed cells,5196,1,9904
8856,Coronar arteriogr-2 cath,Coronary arteriography using two catheters,4492,1,8856
9672,Cont inv mec ven 96+ hrs,Continuous invasive mechanical ventilation for 96 consecutive hours or more,4410,1,9672
3615,1 int mam-cor art bypass,Single internal mammary-coronary artery bypass,3998,1,3615
3891,Arterial catheterization,Arterial catheterization,3513,1,3891
3722,Left heart cardiac cath,Left heart cardiac catheterization,2798,1,3722
8872,Dx ultrasound-heart,Diagnostic ultrasound of heart,2752,1,8872
331,Incision of lung,Incision of lung,2650,1,331
331,Spinal tap,Spinal tap,2650,1,331
3324,Closed bronchial biopsy,Closed [endoscopic] biopsy of bronchus,2438,1,3324
3723,Rt/left heart card cath,Combined right and left heart cardiac catheterization,2257,1,3723
9915,Parent infus nutrit sub,Parenteral infusion of concentrated nutritional substances,2195,1,9915
66,Lingual thyroid excision,Excision of lingual thyroid,2182,1,66
66,PTCA,Percutaneous transluminal coronary angioplasty [PTCA],2182,1,66
4513,Sm bowel endoscopy NEC,Other endoscopy of small intestine,2079,1,4513
3995,Hemodialysis,Hemodialysis,1834,1,3995
8853,Lt heart angiocardiogram,Angiocardiography of left heart structures,1826,1,8853
3612,Aortocor bypas-2 cor art,(Aorto)coronary bypass of two coronary arteries,1718,1,3612
5491,Percu abdominal drainage,Percutaneous abdominal drainage,1557,1,5491
9907,Serum transfusion NEC,Transfusion of other serum,1524,1,9907
9920,Inj/inf platelet inhibit,Injection or infusion of platelet inhibitor,1483,1,9920
45,Peripheral nerve graft,Cranial or peripheral nerve graft,1480,1,45
